id,consecuente,cobertura,aciertos,errores,precision,recall_local,edad,presion_sistolica,presion_diastolica,azucar_sangre,temperatura_corporal,frecuencia_cardiaca
R030,high risk,11,6,5,0.5454545454545454,0.022058823529411766,muy_avanzada,normal,elevada,diabetes_manifiesta,normal,bradicardia
R031,mid risk,32,12,20,0.375,0.03571428571428571,adolescente,hipotension,normal,normoglucemia,fiebre,normal
R032,low risk,1,1,0,1.0,0.0024752475247524753,muy_avanzada,normal,normal,normoglucemia,hiperpirexia,normal
R033,high risk,35,31,4,0.8857142857142857,0.11397058823529412,muy_avanzada,elevada,hipertension,diabetes_manifiesta,normal,normal
R034,high risk,9,7,2,0.7777777777777778,0.025735294117647058,avanzada,normal,hipertension,hiperglucemia_gestacional,normal,normal
R035,mid risk,2,2,0,1.0,0.005952380952380952,adolescente,normal,normal,hiperglucemia_gestacional,fiebre,normal
R036,low risk,1,1,0,1.0,0.0024752475247524753,adolescente,normal,hipertension,hiperglucemia_gestacional,normal,bradicardia
R037,mid risk,11,9,2,0.8181818181818182,0.026785714285714284,optima,normal,normal,normoglucemia,febricular,normal
R038,low risk,3,1,2,0.3333333333333333,0.0024752475247524753,optima,normal,hipertension,normoglucemia,normal,bradicardia
R039,high risk,1,1,0,1.0,0.003676470588235294,avanzada,elevada,normal,diabetes_manifiesta,normal,normal
R040,mid risk,18,5,13,0.2777777777777778,0.01488095238095238,avanzada,normal,normal,normoglucemia,normal,normal
R041,high risk,3,3,0,1.0,0.011029411764705883,optima,hipotension,normal,hiperglucemia_gestacional,febricular,normal
R042,high risk,10,10,0,1.0,0.03676470588235294,avanzada,hipertension,hipertension,diabetes_manifiesta,normal,normal
R043,mid risk,15,13,2,0.8666666666666667,0.03869047619047619,optima,normal,normal,normoglucemia,fiebre,normal
R044,mid risk,3,2,1,0.6666666666666666,0.005952380952380952,adolescente,normal,hipertension,normoglucemia,normal,bradicardia
R045,high risk,11,2,9,0.18181818181818182,0.007352941176470588,optima,normal,normal,normoglucemia,febricular,normal
R046,high risk,2,2,0,1.0,0.007352941176470588,avanzada,elevada,hipertension,diabetes_manifiesta,fiebre,normal
R047,mid risk,4,2,2,0.5,0.005952380952380952,avanzada,normal,elevada,normoglucemia,normal,normal
R048,low risk,6,2,4,0.3333333333333333,0.0049504950495049506,adolescente,hipotension,normal,normoglucemia,hiperpirexia,normal
R049,low risk,8,4,4,0.5,0.009900990099009901,avanzada,normal,normal,hiperglucemia_gestacional,normal,normal
R050,low risk,3,1,2,0.3333333333333333,0.0024752475247524753,muy_avanzada,normal,normal,normoglucemia,fiebre,normal
R051,high risk,5,5,0,1.0,0.01838235294117647,avanzada,elevada,hipertension,diabetes_manifiesta,normal,normal
R052,high risk,2,2,0,1.0,0.007352941176470588,optima,hipotension,normal,normoglucemia,fiebre,bradicardia
R053,low risk,4,1,3,0.25,0.0024752475247524753,avanzada,normal,elevada,normoglucemia,normal,normal
R054,high risk,3,3,0,1.0,0.011029411764705883,adolescente,hipotension,normal,hiperglucemia_gestacional,hiperpirexia,normal
R055,high risk,2,2,0,1.0,0.007352941176470588,optima,normal,elevada,diabetes_manifiesta,normal,normal
R056,mid risk,47,18,29,0.3829787234042553,0.05357142857142857,optima,hipotension,normal,normoglucemia,normal,normal
R057,low risk,18,11,7,0.6111111111111112,0.027227722772277228,avanzada,normal,normal,normoglucemia,normal,normal
R058,mid risk,15,5,10,0.3333333333333333,0.01488095238095238,muy_avanzada,hipotension,normal,normoglucemia,normal,normal
R059,low risk,8,8,0,1.0,0.019801980198019802,adolescente,hipotension,normal,hiperglucemia_gestacional,normal,normal
R060,high risk,8,8,0,1.0,0.029411764705882353,optima,elevada,hipertension,diabetes_manifiesta,normal,normal
R061,low risk,6,6,0,1.0,0.01485148514851485,adolescente,normal,normal,hiperglucemia_gestacional,normal,normal
R062,high risk,9,1,8,0.1111111111111111,0.003676470588235294,optima,hipotension,normal,hiperglucemia_gestacional,normal,normal
R063,high risk,8,8,0,1.0,0.029411764705882353,optima,elevada,hipertension,hiperglucemia_gestacional,normal,normal
R064,mid risk,4,4,0,1.0,0.011904761904761904,optima,normal,elevada,normoglucemia,febricular,normal
R065,mid risk,8,6,2,0.75,0.017857142857142856,optima,normal,elevada,normoglucemia,fiebre,normal
R066,high risk,10,4,6,0.4,0.014705882352941176,optima,hipotension,normal,hiperglucemia_gestacional,fiebre,normal
R067,mid risk,5,3,2,0.6,0.008928571428571428,optima,hipotension,normal,normoglucemia,fiebre,normal
R068,high risk,13,13,0,1.0,0.04779411764705882,muy_avanzada,elevada,elevada,diabetes_manifiesta,normal,normal
R069,low risk,2,2,0,1.0,0.0049504950495049506,adolescente,hipotension,normal,normoglucemia,fiebre,bradicardia
R070,mid risk,3,2,1,0.6666666666666666,0.005952380952380952,muy_avanzada,normal,normal,normoglucemia,fiebre,normal
R071,low risk,13,8,5,0.6153846153846154,0.019801980198019802,optima,normal,elevada,hiperglucemia_gestacional,normal,normal
R072,high risk,14,14,0,1.0,0.051470588235294115,optima,elevada,hipertension,normoglucemia,normal,normal
R073,high risk,1,1,0,1.0,0.003676470588235294,adolescente,elevada,hipertension,normoglucemia,hiperpirexia,normal
R074,low risk,67,51,16,0.7611940298507462,0.12623762376237624,optima,normal,elevada,normoglucemia,normal,normal
R075,high risk,2,2,0,1.0,0.007352941176470588,optima,normal,elevada,diabetes_manifiesta,fiebre,normal
R076,high risk,3,3,0,1.0,0.011029411764705883,optima,normal,normal,diabetes_manifiesta,normal,normal
R077,high risk,14,1,13,0.07142857142857142,0.003676470588235294,muy_avanzada,normal,elevada,normoglucemia,normal,normal
R078,low risk,31,25,6,0.8064516129032258,0.06188118811881188,muy_avanzada,normal,normal,normoglucemia,normal,normal
R079,mid risk,21,4,17,0.19047619047619047,0.011904761904761904,optima,normal,normal,hiperglucemia_gestacional,normal,normal
R080,low risk,10,8,2,0.8,0.019801980198019802,optima,normal,elevada,normoglucemia,normal,bradicardia
R081,high risk,2,2,0,1.0,0.007352941176470588,avanzada,elevada,normal,hiperglucemia_gestacional,fiebre,normal
R082,low risk,21,13,8,0.6190476190476191,0.03217821782178218,optima,normal,normal,hiperglucemia_gestacional,normal,normal
R083,mid risk,5,2,3,0.4,0.005952380952380952,avanzada,normal,normal,normoglucemia,normal,bradicardia
R084,low risk,47,29,18,0.6170212765957447,0.07178217821782178,optima,hipotension,normal,normoglucemia,normal,normal
R085,mid risk,10,5,5,0.5,0.01488095238095238,optima,normal,normal,hiperglucemia_gestacional,fiebre,normal
R086,mid risk,10,2,8,0.2,0.005952380952380952,optima,normal,elevada,normoglucemia,normal,bradicardia
R087,high risk,1,1,0,1.0,0.003676470588235294,muy_avanzada,hipotension,normal,diabetes_manifiesta,fiebre,normal
R088,mid risk,2,2,0,1.0,0.005952380952380952,muy_avanzada,elevada,normal,diabetes_manifiesta,fiebre,normal
R089,low risk,8,2,6,0.25,0.0049504950495049506,optima,normal,elevada,normoglucemia,fiebre,normal
R090,low risk,38,30,8,0.7894736842105263,0.07425742574257425,adolescente,hipotension,normal,normoglucemia,normal,normal
R091,low risk,2,2,0,1.0,0.0049504950495049506,adolescente,hipotension,normal,normoglucemia,febricular,normal
R092,mid risk,11,5,6,0.45454545454545453,0.01488095238095238,muy_avanzada,normal,elevada,diabetes_manifiesta,normal,bradicardia
R093,low risk,129,65,64,0.5038759689922481,0.1608910891089109,optima,normal,normal,normoglucemia,normal,normal
R094,mid risk,6,2,4,0.3333333333333333,0.005952380952380952,adolescente,hipotension,normal,normoglucemia,hiperpirexia,normal
R095,low risk,5,5,0,1.0,0.012376237623762377,muy_avanzada,normal,hipertension,normoglucemia,normal,normal
R096,high risk,12,5,7,0.4166666666666667,0.01838235294117647,muy_avanzada,elevada,normal,diabetes_manifiesta,normal,normal
R097,high risk,3,3,0,1.0,0.011029411764705883,avanzada,normal,elevada,diabetes_manifiesta,normal,normal
R098,high risk,15,3,12,0.2,0.011029411764705883,adolescente,normal,normal,normoglucemia,fiebre,normal
R099,mid risk,15,8,7,0.5333333333333333,0.023809523809523808,adolescente,normal,normal,normoglucemia,fiebre,normal
R100,high risk,2,2,0,1.0,0.007352941176470588,avanzada,hipotension,normal,hiperglucemia_gestacional,normal,normal
R101,high risk,1,1,0,1.0,0.003676470588235294,optima,elevada,normal,diabetes_manifiesta,normal,normal
R102,high risk,10,5,5,0.5,0.01838235294117647,optima,normal,normal,hiperglucemia_gestacional,fiebre,normal
R103,high risk,27,2,25,0.07407407407407407,0.007352941176470588,optima,elevada,normal,normoglucemia,normal,normal
R104,low risk,4,3,1,0.75,0.007425742574257425,avanzada,normal,normal,hiperglucemia_gestacional,normal,bradicardia
R105,low risk,49,35,14,0.7142857142857143,0.08663366336633663,adolescente,normal,normal,normoglucemia,normal,normal
R106,mid risk,9,2,7,0.2222222222222222,0.005952380952380952,avanzada,normal,hipertension,hiperglucemia_gestacional,normal,normal
R107,low risk,15,10,5,0.6666666666666666,0.024752475247524754,muy_avanzada,hipotension,normal,normoglucemia,normal,normal
R108,mid risk,5,5,0,1.0,0.01488095238095238,muy_avanzada,elevada,normal,normoglucemia,normal,normal
R109,high risk,18,2,16,0.1111111111111111,0.007352941176470588,avanzada,normal,normal,normoglucemia,normal,normal
R110,high risk,5,5,0,1.0,0.01838235294117647,muy_avanzada,normal,normal,diabetes_manifiesta,normal,normal
R111,high risk,21,4,17,0.19047619047619047,0.014705882352941176,optima,normal,normal,hiperglucemia_gestacional,normal,normal
R112,high risk,8,2,6,0.25,0.007352941176470588,avanzada,normal,normal,hiperglucemia_gestacional,normal,normal
R113,high risk,6,6,0,1.0,0.022058823529411766,avanzada,normal,elevada,hiperglucemia_gestacional,normal,normal
R114,high risk,5,5,0,1.0,0.01838235294117647,muy_avanzada,elevada,hipertension,diabetes_manifiesta,normal,bradicardia
R115,low risk,15,2,13,0.13333333333333333,0.0049504950495049506,optima,normal,normal,normoglucemia,fiebre,normal
R116,low risk,14,8,6,0.5714285714285714,0.019801980198019802,muy_avanzada,normal,elevada,normoglucemia,normal,normal
R117,low risk,1,1,0,1.0,0.0024752475247524753,optima,normal,normal,normoglucemia,normal,bradicardia
R118,mid risk,49,14,35,0.2857142857142857,0.041666666666666664,adolescente,normal,normal,normoglucemia,normal,normal
R119,high risk,32,7,25,0.21875,0.025735294117647058,adolescente,hipotension,normal,normoglucemia,fiebre,normal
R120,high risk,38,15,23,0.39473684210526316,0.05514705882352941,muy_avanzada,normal,normal,hiperglucemia_gestacional,normal,normal
R121,low risk,5,2,3,0.4,0.0049504950495049506,optima,hipotension,normal,normoglucemia,fiebre,normal
R122,high risk,4,4,0,1.0,0.014705882352941176,avanzada,elevada,hipertension,normoglucemia,normal,normal
R123,low risk,2,2,0,1.0,0.0049504950495049506,avanzada,hipotension,normal,normoglucemia,normal,normal
R124,low risk,32,13,19,0.40625,0.03217821782178218,adolescente,hipotension,normal,normoglucemia,fiebre,normal
R125,low risk,6,6,0,1.0,0.01485148514851485,optima,hipotension,normal,normoglucemia,normal,bradicardia
R126,mid risk,14,5,9,0.35714285714285715,0.01488095238095238,muy_avanzada,normal,elevada,normoglucemia,normal,normal
R127,high risk,10,10,0,1.0,0.03676470588235294,optima,elevada,elevada,diabetes_manifiesta,normal,normal
R128,high risk,6,2,4,0.3333333333333333,0.007352941176470588,adolescente,hipotension,normal,normoglucemia,hiperpirexia,normal
R129,high risk,4,1,3,0.25,0.003676470588235294,avanzada,normal,normal,hiperglucemia_gestacional,normal,bradicardia
